"","Location","lat","lng","Original_Location"
"382","Brooklyn, NY, USA",40.6781784,-73.9441579,"Brooklyn, NY"
"383","233 Branson Landing Blvd, Branson, MO 65616, USA",36.644055,-93.214116,"Brighton"
"384","London, UK",51.5073509,-0.1277583,"London, United Kingdom"
"385","San Francisco, CA, USA",37.7749295,-122.4194155,"San Franciscso"
"386","San Francisco, CA, USA",37.7749295,-122.4194155,"San Francisco, CA"
"387","Minneapolis, MN, USA",44.977753,-93.2650108,"Minneapolis, MN"
"388","New York, NY, USA",40.7127753,-74.0059728,"New York"
"389","Washington, DC, USA",38.9071923,-77.0368707,"Washington, D.C."
"390","Los Angeles, CA, USA",34.0522342,-118.2436849,"Los Angeles, CA"
"391","Santa Ana, CA, USA",33.7454725,-117.867653,"santa ana ca "
"392","San Francisco, CA, USA",37.7749295,-122.4194155,"San Francisco / Yelamu"
"393","Oakland, CA, USA",37.8043637,-122.2711137,"Oakland, CA"
"394","Berkeley, CA, USA",37.8715926,-122.272747,"Berkeley, CA"
"395","Los Angeles, CA, USA",34.0522342,-118.2436849,"Los Angeles, CA"
"396","San Diego, CA, USA",32.715738,-117.1610838,"San Diego, CA"
"397","San Francisco, CA, USA",37.7749295,-122.4194155,"san francisco. CA"
"398","Bakersfield, CA, USA",35.3732921,-119.0187125,"Bakersfield"
"399","Laguna Hills, CA, USA",33.5916433,-117.6986604,"Laguna Hills, CA"
"400","San Francisco, CA, USA",37.7749295,-122.4194155,"San Francisco"
"401","New York, NY, USA",40.7127753,-74.0059728,"New York"
"402","154 Krog St NE #100, Atlanta, GA 30307, USA",33.7589188,-84.3640829,"Everywhere"
"403","San Francisco, CA, USA",37.7749295,-122.4194155,"San Francisco"
"404","8983 Mira Mesa Blvd, San Diego, CA 92126, USA",32.9139184,-117.130469,"LBC"
"405","Torrance, CA, USA",33.8358492,-118.3406288,"Torrance, CA"
"406","Southern California, CA, USA",34.9592083,-116.419389,"so cal"
"407","New York, NY, USA",40.7127753,-74.0059728,"New York, NY"
"408","California, USA",36.778261,-119.4179324,"California"
"409","Los Angeles, CA, USA",34.0522342,-118.2436849,"Los Angeles, CA"
"410","California, USA",36.778261,-119.4179324,"California, USA"
"411","Los Angeles, CA, USA",34.0522342,-118.2436849,"Los Angeles, CA"
"412","Berkeley, CA, USA",37.8715926,-122.272747,"Berkeley and L.A."
"413","New York, NY, USA",40.7127753,-74.0059728,"NYC"
"414","Los Angeles, CA, USA",34.0522342,-118.2436849,"Los Angeles, CA"
"415","Los Angeles, CA, USA",34.0522342,-118.2436849,"Los Angeles, California"
"416","Orange County, CA, USA",33.7174708,-117.8311428,"Orange County, CA"
"417","1032 Legrand Blvd, Daniel Island, SC 29492, USA",32.894704,-79.929056,"in the doghouse"
"418","New York, NY, USA",40.7127753,-74.0059728,"New York City"
"419","Los Angeles, CA, USA",34.0522342,-118.2436849,"Los Angeles, CA"
"420","California, USA",36.778261,-119.4179324,"California"
"421","Los Angeles, CA, USA",34.0522342,-118.2436849,"Los Angeles, CA"
"422","Los Angeles, CA, USA",34.0522342,-118.2436849,"Los Angeles,CA "
"423","Shanghai, China",31.2303904,121.4737021,"Shanghai, China"
"424","San Diego, CA, USA",32.715738,-117.1610838,"San Diego, CA"
"425","Los Angeles, CA, USA",34.0522342,-118.2436849,"Los Angeles, CA"
"426","Chicago, IL, USA",41.8781136,-87.6297982,"Chicago, IL"
"427","San Jose, CA, USA",37.3382082,-121.8863286,"San Jose, CA"
"428","Berkeley, CA, USA",37.8715926,-122.272747,"Berkeley, CA"
"429","Huntington Beach, CA, USA",33.6594835,-117.9988026,"Huntington Beach"
"430","San Francisco, CA, USA",37.7749295,-122.4194155,"San Francisco "
"431","Orange County, CA, USA",33.7174708,-117.8311428,"orange county"
"432","1530 W Jackson St, Ozark, MO 65721, USA",37.0221394,-93.2208172,"The OC"
"433","Taipei, Taiwan",25.0329694,121.5654177,"Taipei City, Taiwan"
"434","250 Pomeroy Ave, Pismo Beach, CA 93449, USA",35.1403466,-120.6415326,"CV | SD"
"435","Irvine, CA, USA",33.6845673,-117.8265049,"Irvine"
